Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Corr,Amb
82,0.05,19,-,1,24,0.99,-5,Symm,5,0,0
46,0.4,19,-,1,45,0.99,-2,Symm,5,0,0
-10,1,-10,-,1,54,0.2,-17,-,1,0,0
20,0.8,2,-,1,18,0.6,12,-,1,0,1
-6,1,-6,-,1,14,0.75,-30,L-skew,4,0,1
38,0.1,22,-,1,57,0.25,16,-,1,0,1
89,0.4,-44,-,1,70,0.25,-13,Symm,7,0,0
46,0.5,-4,L-skew,5,52,0.2,12,Symm,9,0,0
10,0.95,-9,Symm,9,56,0.4,-37,-,1,0,0
0,1,0,-,1,49,0.2,-2,Symm,5,0,0
8,1,8,-,1,20,0.9,-20,Symm,7,0,0
53,0.5,-19,R-skew,4,32,0.6,1,-,1,0,0
53,0.6,-19,-,1,45,0.6,11,L-skew,4,-1,0
10,1,10,-,1,19,0.4,-7,R-skew,6,0,0
5,1,5,-,1,23,0.2,2,R-skew,4,0,1
-5,0.9,-26,-,1,-13,0.1,-13,-,1,0,0
14,1,14,-,1,41,0.8,-39,-,1,0,0
64,0.4,-41,R-skew,4,41,0.01,1,R-skew,6,0,0
-5,0.99,-10,R-skew,3,-1,0.8,-13,Symm,9,0,0
66,0.4,-34,-,1,39,0.2,1,Symm,9,0,0
0,0.9,-13,R-skew,2,37,0.01,-9,-,1,1,0
-2,1,-2,-,1,3,0.8,-39,Symm,9,0,0
198,0.2,-27,L-skew,5,21,0.8,13,-,1,0,1
-2,1,-2,-,1,34,0.25,-14,-,1,0,0
24,1,24,-,1,41,0.5,11,-,1,0,0
26,1,26,-,1,21,0.25,19,Symm,5,0,1
3,0.99,-48,-,1,4,0.6,-4,-,1,0,0
21,0.4,13,-,1,151,0.2,-16,-,1,1,0
36,0.75,-13,-,1,46,0.01,23,-,1,0,1
8,1,8,-,1,2,0.99,-27,Symm,5,0,0
14,0.99,-3,-,1,89,0.05,12,-,1,0,0
14,0.2,-14,-,1,2,0.1,-13,-,1,0,1
31,0.4,11,R-skew,7,76,0.4,-29,Symm,9,-1,0
29,0.8,11,-,1,54,0.75,-35,R-skew,4,0,1
30,1,30,-,1,91,0.2,16,-,1,0,0
16,0.01,-10,-,1,-1,0.6,-21,-,1,0,0
18,0.2,3,-,1,13,0.9,-19,-,1,0,0
3,0.05,-1,-,1,6,0.8,-9,R-skew,8,0,0
-2,1,-2,-,1,40,0.2,-18,Symm,5,0,0
17,1,17,-,1,24,0.01,15,-,1,0,0
20,1,20,-,1,37,0.8,-23,-,1,0,0
25,1,25,-,1,62,0.1,23,-,1,0,0
-2,1,-2,-,1,35,0.4,-17,Symm,7,0,0
18,0.6,-17,-,1,41,0.4,-33,R-skew,2,0,0
8,1,8,-,1,18,0.8,-28,Symm,9,0,1
63,0.01,28,-,1,86,0.2,7,Symm,3,0,0
12,1,12,-,1,29,0.4,11,-,1,0,0
5,0.99,-11,-,1,74,0.4,-38,Symm,7,0,0
35,0.2,-15,R-skew,2,43,0.4,-48,-,1,0,0
52,0.01,10,-,1,62,0.5,-23,Symm,9,1,1
8,0.25,-16,-,1,-4,0.6,-15,-,1,1,0
12,1,12,-,1,32,0.2,7,Symm,3,0,1
18,1,18,-,1,16,0.99,-1,Symm,3,0,0
1,0.9,-3,-,1,41,0.25,-13,Symm,5,1,0
-1,1,-1,-,1,0,0.75,-0,-,1,0,0
12,1,12,-,1,69,0.05,8,L-skew,5,0,0
42,0.6,-35,-,1,15,0.75,-12,-,1,0,1
21,0.25,-8,-,1,14,0.5,-34,Symm,7,0,0
24,0.05,5,-,1,0,0.6,-6,-,1,0,1
7,1,7,-,1,26,0.25,-3,-,1,0,1
-8,0.95,-48,-,1,-10,1,-10,-,1,0,0
-4,1,-4,-,1,-4,0.95,-39,-,1,0,0
48,0.6,-39,-,1,7,0.75,4,-,1,0,1
25,0.01,-0,-,1,7,0.1,-4,-,1,-1,0
54,0.5,-48,-,1,47,0.5,-36,-,1,0,0
24,1,24,-,1,62,0.05,24,-,1,0,0
27,0.6,-35,-,1,25,0.05,5,Symm,7,0,0
13,0.95,-6,-,1,64,0.01,13,L-skew,5,0,1
129,0.2,-26,-,1,85,0.05,6,-,1,-1,0
48,0.01,-8,-,1,-7,0.01,-12,Symm,9,1,0
59,0.4,-11,-,1,16,0.9,13,-,1,0,0
12,1,12,-,1,36,0.1,19,L-skew,5,0,0
26,0.05,21,Symm,9,21,0.6,-8,-,1,0,0
46,0.01,15,R-skew,4,19,0.99,-13,L-skew,3,0,0
36,0.5,-22,L-skew,6,10,0.5,-8,-,1,0,0
38,0.6,-45,R-skew,2,33,0.6,-49,L-skew,2,0,0
19,1,19,-,1,172,0.1,6,Symm,5,0,1
11,1,11,-,1,16,0.6,-1,-,1,0,0
-2,1,-2,-,1,78,0.2,-28,R-skew,5,0,0
18,0.1,9,Symm,7,45,0.2,6,-,1,-1,0
45,0.2,5,-,1,28,0.5,10,R-skew,4,0,1
-5,1,-5,-,1,99,0.25,-33,Symm,7,0,0
35,0.2,21,Symm,7,21,0.9,-7,-,1,0,0
10,1,10,R-skew,7,75,0.2,-2,-,1,0,0
-6,1,-6,Symm,7,58,0.1,-9,-,1,0,1
94,0.5,-42,Symm,5,37,0.2,23,L-skew,6,0,0
26,1,26,-,1,43,0.6,1,R-skew,6,0,0
132,0.2,-23,-,1,12,0.95,-9,R-skew,5,1,0
37,0.2,-9,Symm,3,6,0.6,-8,Symm,3,0,0
27,0.2,2,-,1,39,0.1,4,L-skew,6,0,0
6,1,6,-,1,33,0.1,7,-,1,0,0
92,0.05,12,-,1,16,1,16,Symm,7,0,0
6,1,6,-,1,26,0.25,6,R-skew,2,0,0
64,0.05,21,-,1,71,0.5,-4,-,1,0,1
16,1,16,-,1,11,0.75,-6,R-skew,2,0,0
-10,1,-10,-,1,2,0.2,-22,-,1,0,0
-5,1,-5,-,1,22,0.2,-13,-,1,0,0
80,0.05,-4,-,1,-0,0.99,-14,Symm,9,0,0
45,0.2,-10,-,1,17,0.5,-14,-,1,0,1
18,0.25,-14,R-skew,6,-5,0.01,-14,L-skew,5,0,0
15,1,15,-,1,19,0.25,9,Symm,7,0,1
72,0.1,12,-,1,43,0.2,19,-,1,0,0
-4,1,-4,-,1,84,0.25,-28,-,1,0,0
4,0.4,-16,-,1,-10,0.99,-16,Symm,7,0,0
29,0.5,-11,Symm,7,32,0.5,3,Symm,7,0,1
51,0.5,-47,L-skew,3,21,0.05,-4,-,1,0,0
39,0.6,-28,-,1,35,0.25,-8,L-skew,6,0,0
4,1,4,-,1,47,0.05,3,Symm,3,0,0
-1,0.5,-11,Symm,7,41,0.01,-8,-,1,0,0
127,0.25,-21,-,1,16,0.2,9,R-skew,3,0,0
29,1,29,-,1,66,0.05,24,Symm,7,0,0
30,0.1,28,-,1,203,0.25,-29,-,1,1,0
9,1,9,-,1,110,0.01,15,R-skew,2,0,1
29,1,29,-,1,42,0.01,32,R-skew,7,0,1
50,0.1,28,Symm,3,27,0.75,16,-,1,0,0
169,0.2,-11,-,1,49,0.1,20,-,1,0,0
13,0.2,9,-,1,39,0.01,3,Symm,5,0,0
-10,1,-10,-,1,7,0.6,-29,Symm,7,0,0
-1,1,-1,-,1,13,0.6,-29,Symm,7,0,0
23,0.2,18,-,1,216,0.01,14,Symm,9,0,0
6,0.9,-4,-,1,49,0.25,-1,-,1,0,0
69,0.4,-46,Symm,5,50,0.5,-41,Symm,5,1,1
5,1,5,-,1,6,0.6,2,R-skew,7,0,0
-2,1,-2,-,1,-3,0.75,-23,R-skew,5,0,0
7,1,7,-,1,11,0.75,-13,Symm,7,0,0
11,0.6,-37,R-skew,4,-8,1,-8,L-skew,5,0,1
47,0.1,-7,L-skew,6,1,0.75,-9,-,1,-1,0
-4,1,-4,-,1,-4,0.75,-11,R-skew,5,0,0
19,0.6,-24,L-skew,3,99,0.2,-25,Symm,3,0,0
28,1,28,-,1,28,0.95,-12,-,1,0,0
2,1,2,-,1,38,0.01,-4,-,1,0,0
-3,1,-3,-,1,-3,0.25,-10,R-skew,8,0,1
-1,1,-1,-,1,15,0.8,-48,-,1,0,1
61,0.2,21,-,1,54,0.5,5,-,1,0,0
19,0.1,5,Symm,5,15,0.5,3,-,1,0,0
12,1,12,-,1,14,0.99,-11,-,1,0,1
26,1,26,-,1,31,0.8,18,R-skew,2,0,0
54,0.05,19,-,1,14,0.9,6,L-skew,3,1,0
17,1,17,-,1,26,0.2,13,-,1,0,0
12,0.01,6,-,1,-3,0.1,-3,-,1,0,0
19,1,19,-,1,87,0.01,12,Symm,3,0,0
57,0.6,-13,-,1,29,1,29,-,1,0,0
23,1,23,-,1,63,0.4,1,-,1,0,0
28,1,28,-,1,184,0.25,-38,-,1,0,0
5,0.75,1,Symm,3,27,0.6,-34,-,1,0,0
-9,1,-9,-,1,-11,0.9,-25,-,1,0,0
-10,1,-10,-,1,43,0.25,-20,-,1,0,0
23,1,23,-,1,86,0.4,-18,-,1,0,1
29,1,29,-,1,103,0.2,27,Symm,9,0,0
26,0.01,-1,-,1,20,0.6,-24,-,1,0,0
-6,1,-6,-,1,4,0.2,-2,-,1,0,1
23,1,23,-,1,64,0.1,19,-,1,0,0
75,0.1,14,Symm,9,39,0.6,-11,-,1,0,0
120,0.25,-4,-,1,76,0.01,27,-,1,0,0
-6,1,-6,-,1,40,0.25,-25,Symm,7,0,0
30,0.99,-2,Symm,5,32,0.99,24,-,1,0,0
-10,1,-10,-,1,24,0.05,-21,-,1,0,0
27,1,27,-,1,23,0.95,10,-,1,0,0
2,0.05,-6,-,1,-7,0.95,-24,Symm,7,0,0
35,0.75,15,-,1,25,0.25,23,Symm,5,0,0
11,0.8,-31,-,1,32,0.01,3,-,1,0,0
47,0.4,-20,R-skew,7,19,0.5,-15,-,1,1,0
25,0.95,14,-,1,100,0.25,-12,-,1,0,0
24,0.1,-7,-,1,32,0.01,-7,-,1,0,0
25,1,25,-,1,37,0.95,-15,L-skew,2,0,0
7,1,7,-,1,91,0.2,-12,-,1,0,0
6,1,6,-,1,16,0.1,8,L-skew,5,0,0
24,1,24,-,1,69,0.2,1,Symm,3,0,0
32,0.1,22,-,1,64,0.5,-9,L-skew,6,1,1
26,1,26,-,1,93,0.1,10,Symm,7,0,0
28,1,28,Symm,5,40,0.6,18,R-skew,2,0,0
30,1,30,-,1,42,0.1,25,-,1,0,0
17,1,17,-,1,41,0.05,10,-,1,0,0
64,0.1,-7,L-skew,6,9,0.25,-12,Symm,3,0,1
17,1,17,-,1,33,0.01,12,-,1,0,0
5,1,5,-,1,12,0.4,2,R-skew,6,0,0
37,0.25,10,Symm,7,16,0.99,-5,R-skew,2,0,0
35,0.75,-33,L-skew,4,23,0.75,-17,-,1,-1,0
15,1,15,-,1,21,0.75,-15,L-skew,5,0,0
46,0.4,-19,-,1,71,0.1,10,Symm,9,0,0
20,1,20,-,1,105,0.1,17,Symm,9,0,0
3,1,3,-,1,45,0.25,-13,R-skew,2,0,0
34,0.5,-4,-,1,85,0.5,-50,Symm,7,0,0
7,1,7,-,1,10,0.75,-1,-,1,0,0
40,0.25,17,Symm,5,52,0.05,13,-,1,1,0
-8,1,-8,-,1,22,0.6,-44,-,1,0,0
-0,0.75,-3,Symm,5,5,0.1,1,-,1,0,0
60,0.01,29,-,1,89,0.5,-41,-,1,0,1
26,1,26,-,1,80,0.01,17,Symm,5,0,1
8,1,8,-,1,26,0.2,1,-,1,0,0
-4,0.8,-18,-,1,0,0.6,-42,-,1,0,0
0,1,0,-,1,-1,0.95,-28,-,1,0,0
19,0.4,6,L-skew,4,15,0.05,6,-,1,0,0
26,1,26,-,1,55,0.1,20,Symm,7,0,0
50,0.5,2,R-skew,3,148,0.2,-3,Symm,9,0,0
49,0.6,-19,-,1,35,0.01,29,-,1,0,0
8,1,8,-,1,80,0.1,4,-,1,0,1
5,1,5,-,1,13,0.6,11,R-skew,3,0,0
23,0.6,-14,L-skew,2,157,0.1,-13,L-skew,2,-1,1
-4,0.5,-14,R-skew,8,-5,0.75,-6,-,1,0,0
6,1,6,-,1,33,0.1,9,L-skew,5,0,0
26,1,26,-,1,27,0.01,23,-,1,0,1
7,1,7,-,1,21,0.75,-44,-,1,0,0
9,0.95,-35,-,1,27,0.8,-37,-,1,0,0
-1,1,-1,-,1,6,0.99,3,-,1,0,0
25,0.8,3,L-skew,6,60,0.1,8,-,1,0,0
31,0.2,-10,R-skew,4,-4,0.9,-19,-,1,0,0
2,0.2,2,-,1,10,0.75,-19,Symm,9,0,0
-2,1,-2,-,1,-5,0.99,-35,-,1,0,0
-6,1,-6,-,1,105,0.2,-32,Symm,9,0,0
73,0.01,15,-,1,34,0.1,6,R-skew,2,0,1
5,1,5,Symm,5,2,0.9,-25,Symm,3,0,0
14,1,14,-,1,17,0.25,15,-,1,0,0
17,1,17,-,1,17,0.8,-10,Symm,9,0,0
10,1,10,-,1,8,0.6,-4,-,1,0,0
24,0.99,-29,-,1,75,0.2,7,Symm,7,0,0
76,0.05,-11,-,1,45,0.05,-10,-,1,0,0
75,0.1,25,Symm,3,105,0.2,3,L-skew,6,0,1
-10,0.99,-29,-,1,10,0.6,-39,R-skew,5,0,0
29,1,29,-,1,81,0.01,34,L-skew,6,0,0
-3,1,-3,-,1,-10,0.4,-10,Symm,9,0,0
-4,1,-4,R-skew,7,48,0.1,-8,-,1,0,1
7,1,7,-,1,17,0.6,13,-,1,0,1
25,0.4,-12,-,1,18,0.01,11,R-skew,7,0,0
4,0.9,-7,-,1,51,0.4,-26,-,1,0,0
251,0.1,-39,-,1,7,0.05,-14,-,1,0,0
68,0.25,-4,-,1,18,0.4,11,-,1,0,0
100,0.2,8,R-skew,2,46,0.6,-6,Symm,3,0,1
25,1,25,-,1,32,0.9,17,-,1,0,0
-1,1,-1,-,1,15,0.01,2,-,1,0,0
16,0.2,-4,-,1,15,0.75,-37,-,1,0,0
65,0.25,8,-,1,51,0.25,10,Symm,3,-1,0
22,0.6,-20,-,1,15,0.8,3,-,1,-1,0
30,1,30,-,1,100,0.4,-8,Symm,3,0,0
13,0.5,-33,R-skew,3,39,0.5,-30,-,1,0,0
49,0.05,29,L-skew,2,46,0.6,-1,-,1,0,0
7,1,7,-,1,30,0.2,5,Symm,3,0,0
9,1,9,-,1,5,0.9,2,-,1,0,0
-7,1,-7,R-skew,5,37,0.5,-41,-,1,0,0
33,0.9,-1,-,1,106,0.2,3,Symm,7,0,0
45,0.2,-16,R-skew,2,28,0.2,-7,-,1,0,0
-3,1,-3,-,1,4,0.9,-14,-,1,0,0
23,1,23,-,1,30,0.25,21,R-skew,7,0,0
-2,0.95,-21,-,1,-3,1,-3,-,1,0,0
62,0.6,-18,-,1,57,0.05,33,-,1,-1,0
21,0.6,-21,R-skew,4,44,0.05,12,R-skew,5,0,0
24,1,24,Symm,5,40,0.2,15,-,1,0,1
22,1,22,-,1,27,0.75,11,Symm,7,0,0
62,0.4,-20,-,1,179,0.2,-28,R-skew,4,0,1
25,0.5,7,-,1,57,0.2,13,-,1,0,1
69,0.2,16,-,1,94,0.25,16,R-skew,5,0,0
12,0.05,-1,-,1,0,0.95,-1,-,1,0,1
14,0.75,-15,Symm,5,2,0.9,-2,-,1,-1,0
26,1,26,-,1,20,0.99,13,R-skew,4,0,0
7,1,7,-,1,77,0.1,2,-,1,0,0
17,0.2,-2,-,1,27,0.6,-29,Symm,5,0,0
-4,1,-4,-,1,15,0.2,-11,L-skew,5,0,0
49,0.5,7,-,1,28,0.8,11,L-skew,6,0,0
16,0.9,-23,-,1,12,1,12,-,1,0,0
46,0.25,25,-,1,64,0.5,5,-,1,0,1
24,1,24,-,1,48,0.5,-0,-,1,0,0
101,0.01,-1,L-skew,6,66,0.25,-28,-,1,0,0
19,1,19,-,1,71,0.01,23,Symm,7,0,0
16,0.5,0,R-skew,7,47,0.6,-37,-,1,1,0
11,1,11,-,1,27,0.05,8,-,1,0,0
53,0.2,-25,-,1,42,0.1,-17,Symm,3,0,0
-10,1,-10,-,1,12,0.4,-35,-,1,0,0
180,0.25,-44,-,1,50,0.1,12,R-skew,6,1,1
65,0.05,-0,-,1,54,0.1,1,-,1,0,0
0,1,0,-,1,32,0.25,-9,-,1,0,0
45,0.6,-33,-,1,16,0.6,14,Symm,9,0,1
46,0.2,13,-,1,19,0.95,10,L-skew,3,0,0
-2,1,-2,-,1,33,0.25,-7,-,1,0,0
33,0.6,5,-,1,71,0.01,28,R-skew,7,0,0
9,1,9,-,1,31,0.05,8,Symm,3,0,0
12,1,12,R-skew,3,36,0.75,-39,Symm,9,0,1
36,0.2,-9,-,1,31,0.2,-15,R-skew,7,0,0
-4,0.6,-9,-,1,1,0.05,-1,-,1,-1,0
26,0.75,18,Symm,3,24,0.95,5,R-skew,5,0,1
20,1,20,-,1,20,0.99,9,-,1,0,1
15,1,15,-,1,15,1,15,L-skew,4,0,0
30,1,30,-,1,90,0.2,1,-,1,0,0
19,1,19,-,1,35,0.75,-21,Symm,3,0,0
19,0.95,2,-,1,30,0.5,-10,-,1,0,0
61,0.4,4,-,1,49,0.25,17,R-skew,6,0,1
12,0.9,-48,R-skew,2,46,0.4,-32,Symm,3,-1,0
94,0.1,-6,-,1,6,0.2,2,-,1,0,0
43,0.6,-30,-,1,18,0.99,7,-,1,-1,1
63,0.2,-16,Symm,3,146,0.1,-29,L-skew,6,1,0
38,0.5,-2,-,1,53,0.5,10,-,1,0,0
-6,1,-6,-,1,19,0.25,-4,-,1,0,0
77,0.05,0,Symm,7,29,0.6,-36,Symm,7,1,0
-1,1,-1,-,1,11,0.75,-27,R-skew,2,0,0
49,0.5,-43,-,1,34,0.4,-14,L-skew,4,1,0
17,0.9,-23,L-skew,3,53,0.01,17,-,1,0,0
66,0.05,2,Symm,9,30,0.2,-12,R-skew,6,-1,0
122,0.05,22,-,1,39,0.8,-22,Symm,3,-1,0
98,0.4,-39,L-skew,7,16,1,16,L-skew,2,0,1
3,0.8,1,-,1,14,0.1,3,Symm,3,1,0
22,1,22,-,1,88,0.25,1,L-skew,4,0,0
-10,1,-10,-,1,-15,0.8,-16,Symm,3,0,0
14,1,14,-,1,27,0.8,-31,Symm,9,0,0
37,0.6,5,Symm,3,72,0.4,-5,-,1,0,1
50,0.2,15,L-skew,2,108,0.1,13,Symm,9,0,0
27,0.4,2,R-skew,4,72,0.4,-37,-,1,0,0
12,1,12,-,1,29,0.8,-17,-,1,0,0
4,1,4,-,1,-6,0.95,-8,R-skew,6,0,0
25,1,25,-,1,55,0.5,-7,L-skew,2,0,0
5,0.25,-4,-,1,47,0.2,-28,R-skew,2,0,1
18,1,18,-,1,28,0.5,-2,-,1,0,0
40,0.05,8,R-skew,6,70,0.5,-37,-,1,0,0
2,1,2,-,1,18,0.6,-18,Symm,5,0,1
-3,0.6,-11,Symm,9,7,0.75,-31,Symm,3,0,0
0,0.5,-14,L-skew,3,11,0.05,-10,R-skew,4,0,0
23,0.99,-19,-,1,161,0.2,4,R-skew,6,-1,0
67,0.25,18,-,1,60,0.6,-11,-,1,0,1
23,0.05,21,-,1,42,0.5,9,-,1,0,0
9,1,9,-,1,6,0.6,-9,Symm,7,0,0
25,1,25,-,1,90,0.5,-28,-,1,0,1
22,0.2,-13,R-skew,7,16,0.05,-6,-,1,-1,1
24,0.99,1,Symm,7,24,0.95,-34,-,1,0,0
-10,1,-10,-,1,1,0.5,-26,Symm,3,0,0
25,1,25,-,1,82,0.01,32,Symm,3,0,0
61,0.2,-9,L-skew,5,8,0.9,-15,R-skew,2,1,0
23,1,23,-,1,33,0.1,20,L-skew,4,0,0
5,1,5,-,1,196,0.2,-41,-,1,0,0
63,0.05,-4,-,1,-1,0.2,-3,R-skew,6,0,0
30,1,30,-,1,29,0.5,27,-,1,0,0
24,0.2,9,-,1,15,0.75,14,Symm,9,0,0
14,1,14,-,1,13,0.95,-30,-,1,0,0
61,0.2,13,Symm,5,36,0.5,6,Symm,3,0,0
23,1,23,-,1,74,0.2,16,L-skew,6,0,0
67,0.25,-29,R-skew,4,-4,0.95,-26,Symm,3,0,1
7,0.99,-1,-,1,38,0.4,-3,Symm,7,0,1
-6,0.9,-24,Symm,3,-2,0.1,-12,R-skew,8,1,0
-5,0.9,-25,-,1,85,0.05,-12,-,1,1,0
13,0.4,-24,-,1,-4,0.2,-7,-,1,0,0
42,0.6,-45,-,1,18,0.5,-11,-,1,1,0
25,1,25,-,1,39,0.4,19,R-skew,4,0,0
74,0.05,8,-,1,101,0.01,16,Symm,3,-1,0
-7,1,-7,-,1,34,0.4,-37,-,1,0,0
74,0.05,11,-,1,14,0.05,8,-,1,0,1
27,1,27,-,1,100,0.05,29,-,1,0,0
15,0.4,-27,-,1,20,0.05,-11,Symm,7,0,0
192,0.1,-28,-,1,12,0.75,-43,-,1,0,0
-8,1,-8,-,1,26,0.01,-13,-,1,0,0
29,1,29,-,1,45,0.25,32,L-skew,4,0,1
9,1,9,-,1,95,0.05,2,Symm,5,0,0
14,1,14,-,1,25,0.25,-0,R-skew,2,0,0
113,0.2,-17,-,1,12,0.75,11,R-skew,6,0,0
60,0.6,-35,-,1,56,0.5,-26,Symm,7,0,0
19,1,19,-,1,24,0.6,20,L-skew,6,0,0
2,1,2,-,1,6,0.99,1,-,1,0,1
8,0.6,6,Symm,5,11,0.9,-1,-,1,0,0
29,1,29,-,1,29,0.95,13,-,1,0,0
64,0.2,-19,-,1,-8,0.99,-13,L-skew,2,0,0
27,0.95,13,-,1,24,0.75,18,-,1,0,0
13,0.75,10,-,1,36,0.6,-29,-,1,1,0
14,1,14,-,1,117,0.25,-15,L-skew,4,0,0
29,1,29,-,1,29,0.5,11,L-skew,4,0,0
166,0.1,6,-,1,21,0.99,7,R-skew,4,0,0
16,0.95,4,-,1,14,0.95,10,L-skew,2,0,0
123,0.25,-13,-,1,40,0.05,11,-,1,1,1
48,0.4,-10,-,1,13,0.8,-1,-,1,0,0
15,0.25,10,-,1,22,0.2,14,-,1,0,0
-1,1,-1,-,1,34,0.2,-9,L-skew,5,0,0
10,1,10,-,1,24,0.4,-7,-,1,0,1
27,0.6,17,Symm,9,111,0.25,-14,R-skew,7,0,1
28,1,28,-,1,91,0.4,-7,Symm,3,0,1
57,0.6,-20,-,1,35,0.5,22,-,1,1,0
31,0.6,29,-,1,97,0.01,20,-,1,0,0
-7,0.6,-10,-,1,-14,0.8,-14,Symm,3,0,1
33,0.8,17,R-skew,2,54,0.5,-1,-,1,-1,1
27,1,27,-,1,98,0.25,-3,L-skew,3,0,1
-6,1,-6,-,1,21,0.2,-12,-,1,0,0
40,0.4,5,-,1,20,0.8,18,-,1,0,0
90,0.05,7,Symm,7,25,0.25,15,R-skew,5,1,0
45,0.4,-42,Symm,7,-7,1,-7,-,1,0,0
-1,1,-1,-,1,31,0.4,-26,-,1,0,1
12,1,12,-,1,9,0.8,-11,Symm,3,0,0
66,0.4,-9,-,1,29,0.2,6,-,1,-1,0
18,1,18,-,1,19,0.9,12,-,1,0,0
11,0.99,2,-,1,72,0.4,-26,Symm,3,0,0
21,0.05,18,-,1,61,0.01,20,-,1,1,0
85,0.25,-7,-,1,39,0.1,3,-,1,-1,0
18,1,18,-,1,25,0.8,21,-,1,0,1
-4,1,-4,-,1,47,0.25,-23,-,1,0,0
29,1,29,-,1,79,0.5,-20,-,1,0,0
36,0.25,-20,-,1,6,0.05,-6,Symm,7,0,0
87,0.01,20,-,1,60,0.05,18,-,1,0,0
-6,1,-6,-,1,2,0.4,-21,-,1,0,0
46,0.4,-2,-,1,26,0.01,14,-,1,0,0
21,0.95,-4,R-skew,6,53,0.2,18,L-skew,6,0,0
27,1,27,-,1,27,0.95,-12,-,1,0,0
21,1,21,-,1,29,0.2,26,-,1,0,0
32,0.8,-12,-,1,45,0.01,29,R-skew,6,0,0
58,0.05,13,Symm,3,16,0.99,-16,-,1,-1,0
15,0.5,3,Symm,9,18,0.75,-13,Symm,3,0,0
9,1,9,-,1,72,0.1,-5,R-skew,3,0,0
12,0.01,-7,-,1,13,0.2,-4,-,1,1,0
19,1,19,-,1,20,0.99,17,-,1,0,0
30,0.05,9,-,1,87,0.25,-19,-,1,-1,0
-9,1,-9,-,1,1,0.25,-6,-,1,0,1
16,0.1,-2,-,1,53,0.2,-13,-,1,0,1
67,0.5,-37,-,1,23,0.75,2,-,1,0,0
14,1,14,-,1,81,0.4,-20,Symm,3,0,0
2,0.9,-34,-,1,9,0.9,1,-,1,0,0
-7,1,-7,-,1,45,0.2,-13,-,1,0,0
60,0.4,-23,-,1,11,0.95,-32,Symm,7,0,1
4,1,4,-,1,95,0.1,2,-,1,0,0
23,0.5,17,L-skew,3,20,1,20,-,1,0,0
47,0.1,17,-,1,14,0.6,-10,Symm,7,0,0
-6,1,-6,-,1,33,0.05,5,-,1,0,0
22,0.01,4,-,1,86,0.25,-33,R-skew,4,-1,0
-5,1,-5,-,1,11,0.6,-21,Symm,5,0,0
12,1,12,-,1,199,0.1,-6,L-skew,2,0,0
15,0.05,-7,L-skew,2,-6,1,-6,Symm,3,0,0
118,0.2,-27,-,1,46,0.4,-23,-,1,0,0
28,0.9,2,-,1,33,0.5,15,R-skew,6,0,0
55,0.4,-3,Symm,3,30,0.8,-0,L-skew,6,0,1
-9,1,-9,-,1,-12,0.5,-17,L-skew,5,0,0
12,1,12,-,1,40,0.5,-18,-,1,0,0
26,0.95,22,-,1,73,0.2,13,-,1,-1,0
-9,1,-9,-,1,-2,0.01,-7,R-skew,4,0,1
-6,1,-6,-,1,-6,0.25,-8,R-skew,7,0,0
-8,1,-8,-,1,5,0.6,-24,Symm,5,0,0
2,1,2,-,1,86,0.01,1,-,1,0,1
-1,1,-1,-,1,71,0.25,-35,L-skew,2,0,0
17,0.6,15,-,1,81,0.01,17,-,1,1,0
41,0.2,16,R-skew,2,24,0.8,5,-,1,0,0
-7,1,-7,-,1,37,0.01,-15,-,1,0,1
22,1,22,-,1,18,0.8,16,-,1,0,0
29,0.9,9,-,1,44,0.6,-2,-,1,0,1
22,0.1,12,-,1,69,0.01,14,-,1,1,1
35,0.4,8,-,1,32,0.25,16,Symm,3,0,0
9,1,9,-,1,38,0.25,-7,-,1,0,0
3,0.99,1,Symm,9,45,0.2,-4,L-skew,2,0,0
87,0.25,-6,L-skew,7,48,0.8,-44,-,1,1,0
64,0.25,-24,Symm,9,8,0.05,-12,Symm,9,0,1
-8,1,-8,-,1,-8,0.99,-25,R-skew,4,0,0
32,0.9,11,R-skew,6,25,0.75,20,-,1,0,0
-3,1,-3,R-skew,2,29,0.5,-38,-,1,0,0
-7,1,-7,Symm,3,24,0.4,-15,Symm,5,0,0
28,0.05,-11,-,1,3,0.5,-32,R-skew,3,0,0
10,1,10,-,1,34,0.25,12,-,1,0,0
43,0.2,17,Symm,9,22,1,22,-,1,0,0
27,0.01,11,L-skew,5,11,1,11,L-skew,2,0,0
-10,1,-10,-,1,40,0.4,-37,R-skew,3,0,0
37,0.6,-30,-,1,102,0.1,3,-,1,0,1
93,0.2,-27,L-skew,7,168,0.05,-5,Symm,9,-1,0
28,1,28,-,1,157,0.2,-16,-,1,0,0
75,0.2,-9,Symm,9,50,0.5,-20,-,1,0,1
74,0.1,-8,Symm,7,0,1,0,-,1,0,0
29,1,29,Symm,9,44,0.05,29,Symm,7,0,0
11,1,11,-,1,74,0.2,-20,R-skew,4,0,0
19,0.6,-13,-,1,34,0.5,-19,Symm,9,0,0
10,0.99,-23,-,1,37,0.2,-3,-,1,0,0
10,1,10,R-skew,6,47,0.2,12,-,1,0,0
70,0.4,-27,-,1,17,0.75,-35,-,1,-1,0
13,1,13,-,1,16,0.9,-7,R-skew,3,0,1
8,0.6,-20,Symm,5,17,0.5,-31,R-skew,6,0,0
